Haider,3390572,2014,Action,Crime,Drama,Hindi,Tabu,Shahid Kapoor,Shraddha Kapoor,Pallavi Pethkar,NA,NA,"Vishal Bhardwaj's adaptation of William Shakespeare's 'Hamlet', Haider - a young man returns home to Kashmir on receiving news of his father's disappearance. Not only does he learn that security forces have detained his father for harboring militants, but that his mother is in a relationship with his very own uncle. Intense drama follows between mother and son as both struggle to come to terms with news of his father's death. Soon Haider learns that his uncle is responsible for the gruesome murder, what follows is his journey to avenge his father's death.",8.1,52085,https://www.imdb.com/title/tt3390572/
Special 26,2377938,2013,Crime,Drama,Thriller,Hindi,Akshay Kumar,Anupam Kher,Manoj Bajpayee,Dhiristi Bakshi,Sanket Ghag,Ashwini Kale,"Based on real life incidents that occurred in India in 1987-88, the storyline revolves around a group of con artists who pulled off many clever robberies during 1980s, and robbed famous businessmen and politicians by pretending to be the CBI or Income tax officers and conducting raids. On the pretext of conducting raids they would take away all the black money hoarded by them.",8.0,53392,https://www.imdb.com/title/tt2377938/
Andaz Apna Apna,0109117,1994,Action,Comedy,Romance,Hindi,Aamir Khan,Salman Khan,Raveena Tandon,Kailash Pandit,Menon Mohd. Yusuf,NA,"Amar and Prem are two rivals who belonging to middle-class families with no scope of future advancement. Both individually, without the knowledge of the other decide to take matters into their hands and find ways to get rich quickly. Chaos and acrimony result when both find each other at loggerheads when both arrive to win the hand of the daughter of multi-millionaire Ram Gopal Bajaj amidst considerable upheavals when Shyam, the twin brother of Ram, decides to do away with Ram and assume his identity and thus take over the estate of the Bajaj family.",8.1,51536,https://www.imdb.com/title/tt0109117/
OMG: Oh My God!,2283748,2012,Comedy,Drama,Fantasy,Hindi,Paresh Rawal,Akshay Kumar,Mithun Chakraborty,NA,NA,NA,"Oh my God is a story about a person (Kanji Lalji Mehta) who loses his shop in an earthquake. The shop is located an area in Mumbai, known as chor bazaar. Kanji is a person, who even does not fear God and even puts God on ill usage, for his benefit. After disaster, Kanji lodges complaint against God as he does not get benefit of insurance due to act of God. The notice is sent to all bigger baba's. He first goes through a lot of resistance, but eventually people turn out in his favor. People from other religions also join him. Thus notice is sent to every religious head. Later its shown how Kanji wins and people who have lodged complaint against disaster caused get benefited. Its also shown how dongis are bought into vision of normal people.",8.1,54660,https://www.imdb.com/title/tt2283748/
Veer-Zaara,0420332,2004,Drama,Family,Musical,Hindi,Shah Rukh Khan,Preity Zinta,Rani Mukerji,Braj Bhushan,Renu Chainani,Sudharkar Gaud,"Squadron Leader Veer Pratap Singh (Shah Rukh Khan) is a rescue pilot with the Indian Air Force. In the line of duty he comes across a stranded Zaara (Preity Zinta) - a girl from Pakistan who has come to India to fulfill her surrogate mothers dying wish. Veer saves her life and his life is never the same again. Twenty two years later Saamia Siddiqui (Rani Mukerji), a Pakistani human rights lawyer on her first case, finds herself face to face with an ageing Veer Pratap Singh. He has languished in a Pakistan jail cell for 22 years and has not spoken to anyone all these years. And no one knows why. Her mission is to discover the truth about Veer and see to it that justice is served. VEER-ZAARA is a saga of love, separation, courage and sacrifice. A love that is divine, a love that is whole-hearted, a love that is completely consuming, a love that grows with separation and deepens with sacrifice. A love that is an inspiration - and will remain a legend forever.",7.8,50889,https://www.imdb.com/title/tt0420332/
Chennai Express,2112124,2013,Action,Adventure,Comedy,Hindi,Deepika Padukone,Shah Rukh Khan,Sathyaraj,Swapnil Bhalerao,Sagar Desai,Sukant Gantayat,"Rahul embarks on a journey to a small town in Tamil Nadu to fulfill the last wish of his grandfather: to have his ashes immersed in the Holy water of Rameshwaram. En route, he meets a woman hailing from a unique family down South. As they find love through this journey in the exuberant lands of South India, an unanticipated drive awaits them.",6.1,51192,https://www.imdb.com/title/tt2112124/
Kuch Kuch Hota Hai,0172684,1998,Comedy,Drama,Musical,Hindi,Shah Rukh Khan,Kajol,Rani Mukerji,Mohammed Kasim,Shakir,NA,"Rahul Khanna and Anjali Sharma were best friends at college. Anjali realizes that she has fallen in love with Rahul but she's too late because Rahul has already fallen for Tina Malhotra. Heartbroken, Anjali leaves the city. Tina and Rahul get married and soon Tina becomes pregnant, giving birth to a daughter which they call Anjali. Due to complications during pregnancy, Tina passes away. Anjali is brought up by her father, and each year on her birthday he allows his daughter to read one of her mother's letters. Through these letters she learns that her mother (Tina) knew that another Anjali was in love with Rahul, and vows to bring them together again.",7.6,50138,https://www.imdb.com/title/tt0172684/
The Lunchbox,2350496,2013,Drama,Romance,NA,Hindi,Irrfan Khan,Nimrat Kaur,Nawazuddin Siddiqui,NA,NA,NA,"The film, set in Mumbai, revolves around a mistaken delivery by the Dabbawalas (lunchbox service) of Mumbai, which leads to a relationship between Saajan, a lonely widower close to retirement, and Ila, an unhappy housewife, as they start exchanging notes through the daily lunchbox.",7.8,53039,https://www.imdb.com/title/tt2350496/
Jab We Met,1093370,2007,Comedy,Drama,Romance,Hindi,Shahid Kapoor,Kareena Kapoor,Tarun Arora,Ramesh Andhale,Tariq Umar Khan,NA,"Depressed after the passing of his father (Dharamraj) and a ditching by his gorgeous girlfriend, Mumbai-based businessman Aditya Kashyap takes a BEST bus, goes to the Chatrapati Shivaji Train Terminus, and boards a train. There he meets Geet Kaur Dhillon, who is returning home to Bhatinda, and who pays for his ticket. At Bar Nagar, he decides to leave, but she follows him, missing her train. They manage to get a ride to Ratlam, miss the train again, but eventually make it to Bhatinda. Once there, he gets to meet her family, her pretty sister Roop as well as her to-be betrothed, Manjeet Singh Mann. Before the engagement can be finalized, she manages to convince her fiancé that she wants to marry Aditya. Before Aditya can take stock of these new developments, she elopes with him - not to get married but to re-locate to Manali where her true love, Anshuman, awaits, and to whom she hopes to get married.",7.9,49907,https://www.imdb.com/title/tt1093370/
Sanju,6452574,2018,Biography,Comedy,Drama,Hindi,Ranbir Kapoor,Paresh Rawal,Manisha Koirala,Apurva Bhagat,Sean Kehoe,Purvisha Peshwe,"Few lives in our times are as dramatic and enigmatic as the saga of Sanjay Dutt. Coming from a family of cinema legends, he himself became a film star, and then saw dizzying heights and darkest depths: adulation of die-hard fans, unending battles with various addictions, brushes with the underworld, prison terms, loss of loved ones, and the haunting speculation that he might or might not be a terrorist. Sanju is in turns a hilarious and heartbreaking exploration of one man's battle against his own wild self and the formidable external forces trying to crush him. It depicts the journey of a man through everything that life can throw at him. Some true stories leave you thinking ""did this really happen?"" This is one such unbelievable story that happens to be true.",7.7,50466,https://www.imdb.com/title/tt6452574/
