Title,IMDB ID,Date of release,Genre1,Genre2,Genre3,Language,Actor1,Actor2,Actor3,Crew1,Crew2,Crew3,Plot summary,IMDB rating,IMDB votes,IMDB URL
Striker,1573482,2010,Action,Crime,Drama,Hindi,Siddharth,Ankur Vikal,Anupam Kher,Sikander Ahmad,Tariq Ansari,Baban Athawale,"Amidst strictly enforced curfew by Bombay Police during December 1992 following Hindu-Muslim riots, Suryakant - one of four siblings from Malad's Malvani slums, heads home. While doing so, he reflects on his childhood; his sisters: Devi and Rajni; brother Chandrakant; his dad, Shashikant, as well his mother; his expertise with the Carrom-board; run-ins with extortionist-goon, Jaleel Khan; his friendship with Zaid Khan; his crush on Noorie as well as his plans to find employment in Dubai; why he could not attend Devi's marriage, as well as the tragedy that awaits him.",6.9,1033,https://www.imdb.com/title/tt1573482/
Teesri Manzil,0061073,1966,Comedy,Musical,Mystery,Hindi,Shammi Kapoor,Asha Parekh,Raj Mehra,Madhukar S. Shinde,Gurudayal Singh,NA,Sunita during a train journey meets a mischievous Anil.She is traveling to Dehradhun where her sister Roopa had committed suicide a year back and held's a hotel drummer Rocky responsible for it.Anil is indeed Rocky (his stage name).He develops a liking for Sunita and when he finds Sunita is looking for him he tells his friend to pretend as Rocky telling him he wasn't responsible for Roopa's suicide as he never liked her but out of rejection she committed suicide.Anil tries to tell Sunita the truth many a times but in vain.The police find out that Roopa's death wasn't a suicide but a murder.,7.7,1171,https://www.imdb.com/title/tt0061073/
Meri Jung,0084324,1985,Action,Drama,NA,Hindi,Anil Kapoor,Girish Karnad,Nutan,NA,NA,NA,"Deepak Verma is framed for a Murder by GD Thakral even thou he is innocent his wife Aarti pleads to Thakral but it goes unanswered and Deepak is hanged till death,Aarti disappears after the incident her children Arun and Komal believe she is dead they both become homeless,Arun starts doing odd jobs and becomes a famous lawyer in the city and someday wants to fight a case opposite Thakral while Komal is still at college,Geeta comes to Arun to ask him to fight case of her sister Dr Asha ,Arun rejects at first but later risks his life and gives justice to Asha as he finds Asha was framed,Arun and Geeta start meeting and fall in love Komal be friend's Vicky,Vicky whose a spoil brat of Thakral,Asha 's husband Dinesh notices photo of Arun 's mother in his house and recollects that she is still alive and living in and asylum and suffering from mental disorder,Arun gets his mother home feeling she might get back to normal he enters a function which has Thakral has chief guest and insults him,Vicky now decides to take revenge of this insult and comforts Komal to get married to him this angers Arun, Geeta takes Komal to stay with her in Asha and Dinesh 's house,Vicky calls Komal and asks her to elope with him but Vicky's former girlfriend Indu reaches and tells Komal that Vicky is cheating her in a tiff Vicky kills Indu which is noticed by Dinesh and Asha meanwhile Arun reaches the spot to share good news that his mother is alright and he is shocked to see Indu being murdered, Vicky is arrested the same night and at Indu's funeral Arun notices that she is the daughter of Gupta who had tried hard to prove his father innocent and decides to give justice to Indu,Arun's long wait is now over as he wanted to battle opposite Thakral he tells him that he is son of Deepak whom he falsely acquitted now Thakral and Vicky will pay for their crimes after a lot of courtroom drama Arun proves that Vicky is guilty for Indu's murder and judge orders him to be hanged,Thakral being biggest lawyer in the city can't take this that he couldn't save his son and looses his mental balance and is put in asylum, Aarti now lives happily with her children.",7.3,1264,https://www.imdb.com/title/tt0084324/
Swarg,0173283,1990,Drama,NA,NA,Hindi,Rajesh Khanna,Govinda,Madhavi,Anand Kalekar,NA,NA,Kumar lives in palatial house with wife Janki two brothers and youngest being his sister Jyoti.Krishna is the house servant who considers Kumar not less then God and calls him Sahabji.Dhanraj his business rival destroys his factory his brothers then part ways from him and Jyoti's marriage is called off as Kumar has nothing left with him.Krishna is his only support who decides to be with him till the end.But he is framed for robbery and thrown out of the house.Further Janki passes away and Kumar along with Jyoti starts to live in a hut .Krishna goes to Bombay and becomes a big star.Upon his return he finds about what happened with Kumar he decides to destroy Dhanraj and Kumar's brothers.,6.7,1315,https://www.imdb.com/title/tt0173283/
Vodka Diaries,6275262,2018,Mystery,Thriller,NA,Hindi,Kay Kay Menon,Raima Sen,Mandira Bedi,Amritpal Singh,NA,NA,"ACP Ashwini Dixit and Sub Inspector Ankit are investigating a series of murders connecting to a club Vodka Diaries where young man are murdered on same night in presence of tree mysterious women citing infidelity.Ashwini's wife Shika soon disappears and he starts to get mysterious calls from Roshini whom he believes to be the main suspect and one behind disappearance of Shika.In order to investigate the case and find Shika,Ashwini goes back to Vodka Diaries where everyone fails to recognize him and he sees that the murder victims are very much alive.",5.6,1332,https://www.imdb.com/title/tt6275262/
Katha,0085776,1983,Comedy,Drama,NA,Hindi,Naseeruddin Shah,Farooq Shaikh,Deepti Naval,NA,NA,NA,"The film is loosely based on the classical Indian folktale of the hare and the tortoise, providing a modern interpretation of the same. Even though the good (tortoise) may win in the end, is it worth the wait? It is based on S.G. Sathye's Marathi play Sasa Aani Kasav (Hare and Tortoise). The tortoise - Rajaram P. Joshi (Naseeruddin Shah) - is a middle-class clerk living in a chawl (middle-class apartment complex) in Bombay. He is secretly in love with his neighbor, Sandhya Sabnis (Deepti Naval), but is unable to disclose his love for her, mainly due to his timidity. Rajaram is a very good natured and hardworking man. Most of his neighbors and colleagues take advantage of his goodness. One day Rajaram's fast-talking friend Vasudev alias Bashu (Farooq Shaikh) - the hare - comes for a visit and makes himself at home. Bashu generally impresses people by his false success stories and his over-the-top attitude. Bashu starts wooing Sandhya, and she falls in love with him. He then joins Rajaram's company, Footprint Shoes, by impressing the owner, Mr. Dhindhoria, with false stories about his work experience and love of golf. He also starts flirting with Dhindhoria's beautiful wife Anuradha (Mallika Sarabhai) and daughter Jojo (Winnie Paranjape) at the same time. In the chawl, the Sabnis family decides to get Sandhya married to Bashu, much to the shock of Rajaram. But on the day of the engagement, Bashu disappears after being caught red-handed, romancing Anuradha, by Jojo. The engagement is called off. Rajaram then offers to marry the devastated Sandhya, but she tells him that she has been very intimate with Bashu and is perhaps pregnant. Rajaram shows his greatness by accepting her in spite of all this and expressing his long hidden love towards her.",7.8,1163,https://www.imdb.com/title/tt0085776/
The Girl & the Train Summer 2005,2745358,2005,Documentary,NA,NA,NA,Maki Horikita,NA,NA,NA,NA,NA,NA,NA,NA,https://www.imdb.com/title/tt2745358/
Dillagi,0225515,1999,Drama,Musical,Romance,Hindi,Sunny Deol,Bobby Deol,Urmila Matondkar,NA,NA,NA,"Two brothers -- Ranvir and Rajvir along with their parents move to Mumbai. They endure numerous hardships, but their will to survive prevails and they succeed. Soon, their parents pass away, leaving young Rajvir in the care of Ranvir. Now wealthy beyond any means, Ranvir runs the business and Rajvir lives recklessly. When Rajvir falls in love, Ranvir arranges his marriage, but to his dismay finds out that he has arranged his brother to marry the girl he loves.",5.3,1134,https://www.imdb.com/title/tt0225515/
Shaadi Karke Phas Gaya Yaar,0430589,2006,Comedy,Drama,Romance,Hindi,Salman Khan,Shilpa Shetty Kundra,Reema Lagoo,NA,NA,NA,"Ayaan lives a very wealthy lifestyle with his married brother Karan and his wife Anju, younger sister Yamini and brother Rahul, and his mom and grandma, and runs a garage. ; his mom, and grandma; and runs a garage. One day he meets beautiful model Ahana and falls head over heels in love with her. She forgets her personal diary at his garage, and through this Ayaan woos her and wins her heart, and they get married. Ahana soon finds out that despite Ayaan's wealth, his family is very conservative and traditional. This causes bitterness between the newlyweds, which gets worse when she becomes pregnant and wants to abort the child. While visiting her mom on their dog's birthday, Ahana has an accident which results in a miscarriage. Ayaan blames her for losing the child, but his mother convinces him and he apologizes. Months later, Ahana becomes pregnant again, and that's when she finds out that Ayaan had pulled wool over her eyes through her personal diary. Watch what happens when Ahana decides to get drunk on her birthday and expose Ayaan publicly.",4.0,1207,https://www.imdb.com/title/tt0430589/
Love,0392360,1991,Drama,Musical,Romance,Hindi,Salman Khan,Arun Bakshi,Rita Bhaduri,NA,NA,NA,"Constant abuse at the hands of her husband forces, Prithvi's mother to commit suicide which then pushes Prithvi to murder his dad resulting in him spending his youth behind bars. Years later after his release from prison; Prithvi is unable to control his temper at the site of injustice. He meets Maggie Pinto and after a few chance meetings both falls in love. Maggie introduces Prithvi to her parents but her mother, Stella disapproves of the match because of Prithvi's violent background thus Maggie is instructed to abstain from Prithvi. But the lovers continue to meet tempting Stella to involve the police resulting in the arrest of Prithvi. Guruji then comes to his assistance by arranging his bail - this then opens up a rebellious game between the lovers and Stella.",5.8,1353,https://www.imdb.com/title/tt0392360/
Barah Aana,1202517,2009,Comedy,Crime,Drama,Hindi,Naseeruddin Shah,Vijay Raaz,Arjun Mathur,NA,NA,NA,"Barah Aana is a comedy of real life, set in today's Mumbai. The story revolves around three unlikely friends: a driver (Shukla), a watchman (Yadav), and a waiter (Aman). The driver is an older man, stoic but dependable. The watchman, in his 30s, is a pushover at work but otherwise mischievous. The waiter is a young, swaggering chap, brimming with ambition. Living together, their differing attitudes spark playful banter. At some point, misfortune befalls the watchman and, due to a series of chance events, he stumbles into a crime. Striking upon a seemingly low-risk way to make good money, and discovering a new sense of self-confidence, he tries to entice the others to join him in a series of such crimes. Cat and mouse games ensue between the three as personalities change, but events soon spiral out of control, leading them in a direction none of them had wanted to take... Featuring a talented ensemble cast, Barah Aana is based on an original script. The running time is 97 minutes.",6.8,1196,https://www.imdb.com/title/tt1202517/
Sapoot,0135641,1996,Action,Crime,Drama,Hindi,Akshay Kumar,Sunil Shetty,Karisma Kapoor,NA,NA,NA,"Singhania big hearten Don who does not like to trade in drugs and other illegal business which does not go well with his rivals Dhaneshwar and Tejeshwar.Singhania's older son Raj is taking care of his business,While is younger son Prem is a Casanova.Dhaneshwar is killed by Singhania when he attacks on Raj.Kantiilal and Samsher trusted aide of Singhania's betray him and he gets killed by them and Tejeshwar.Raj and Prem now decide to take his legacy forward.Prem joins police force but is eliminating enemies of Raj.But soon realizes he is going against law and decides to part ways from Raj.Thus creating rift between the brothers.",5.2,1076,https://www.imdb.com/title/tt0135641/
Fugly,3683702,2014,Drama,Thriller,NA,Hindi,Jimmy Sheirgill,Mohit Marwah,Kiara Advani,NA,NA,NA,"It is a story of 4 friends - Dev, Gaurav, Aditya & Devi. The cast is young & fresh. They are at the cusp of their lives - The college has just about finished, but career path is yet to be set. These are the last few days of true freedom that we have all gone through, and still cherish. These friends are conscientious, they will have fun but would never cross the boundaries - They all have dreams and expectations from life, but as they say - man proposes, god disposes. Their fun filled and care free life comes to an abrupt halt, when they are faced with an extremely corrupt and seemingly fearless Police Officer. This puts a series of events in motion which will test their friendship and characters - their life becomes 'Fugly'.",4.7,1042,https://www.imdb.com/title/tt3683702/
Love Breakups Zindagi,1877691,2011,Comedy,Drama,Romance,Hindi,Zayed Khan,Dia Mirza,Cyrus Sahukar,NA,NA,NA,"Delhi-based Jai Malhotra is engaged to Radhika and their marriage is expected to take place soon, while Mumbai-based Naina Kapoor has a boyfriend in Dhruv and both are also plan to wed. Both travel without their respective lovers to Chandigarh to attend the marriage of Arjun and Gayatri. They meet with Gayatri's grandmother, Bijji, and mingle with others. They also organize a night of entertainment, which is also attended by Dhruv. The festivities turn to sorrow the next day when Bijji unexpectedly passes away. After a brief mourning period, the marriage takes place, and everyone returns to their respective homes. With their minds still fresh from memories and photographs from the wedding, they then experience issues and challenges when they attempt to adjust back into their respective lives.",5.8,1033,https://www.imdb.com/title/tt1877691/
The Killer,0833484,2006,Action,Crime,Drama,Hindi,Irrfan Khan,Emraan Hashmi,Priyanka Kothari,Chanchal Bisht,Raju Jadhav,NA,"The Central Bureau of Investigation (CBI), India, has been made aware of a killer cab-driver in Malaysia who killed several people in a matter of hours, and then crashed his taxi and killed himself. The same think happened again, this time in Hong Kong, several people were killed by another cab-driver, who also ended up being killed. Now Ranvir Oberoi of the CBI is in Dubai, United Arab Emirates, working together with Dubai Police to protect several witnesses who have agreed to testify against notorious Dubai-based Don, Jabbar. Then the unexpected happens when at first Malika, a witness against Jabbar, gets killed; then Mussa, another witness's girlfriend is killed, with Mussa, himself, missing. Dubai police who are carrying out video surveillance of Jabbar's palatial mansion find that a Cabby, of Indian origin, Nikhil Joshi, was seen entering his estate's gates, and witnesses had stated that they had seen his taxi outside the site of recent murders. The Police race, not only to protect, the remaining three witnesses, Kamaal Khan, Akbar Sheikh, and cabaret dancer, Priya, but also attempt to apprehend this killer, before he kills everyone on his list, and ends up killing himself.",4.7,1126,https://www.imdb.com/title/tt0833484/
Zid,4228746,2014,Crime,Romance,Thriller,Hindi,Mannara Chopra,Karanvir Sharma,Shraddha Das,Ambika Acharya,N. Madhusudan,Karan Ghosh,NA,4.4,1141,https://www.imdb.com/title/tt4228746/
Banjo,5755606,2016,Action,Drama,Music,Hindi,Riteish Deshmukh,Nargis Fakhri,Aditya Kumar,Amol Hirawadekar,Vichare Roshan,NA,"Mickey a sound Recordist records a tune during Mumbai Ganpati festival and sends it to her friend Chritina in the US, Christina comes to Mumbai in search of the band.Christina along with Mickey audition many band but they don't find the band which originally played the tune.Taraat who extorts money for local politician had played the tune with his band for the festive season he is given a job of showing Chritina the whole Mumbai but doesn't disclose him self of being a Banjo player as he feels that as a Banjo player he and his band haven received the required respect.",4.9,1149,https://www.imdb.com/title/tt5755606/
Main Aisa Hi Hoon,0444874,2005,Drama,Family,Musical,Hindi,Ajay Devgn,Sushmita Sen,Esha Deol,NA,NA,NA,"Indraneel better known as Neel is mentally unfit, lives in a small hill station where everyone loves him works at a coffee shop and as single parent takes care of his daughter Gungun.Gungun's mother Maya was lonely and drug addict she met Neel when she needed desperately a companion.After giving birth to Gungun she suddenly disappears never to comeback.Many years later Maya's father Trivedi comes to take custody of his granddaughter as Neel is mentally not fit.A depressed Neel cant see his daughter going away from him and takes the help of a Lawyer Niti also a single mother.",4.8,1052,https://www.imdb.com/title/tt0444874/
Dishkiyaoon,3539966,2014,Action,Thriller,NA,Hindi,Harman Baweja,Harsh Chhaya,Sunny Deol,Priyanka Grover,Dayanidhi Patturajan,NA,NA,5.2,1007,https://www.imdb.com/title/tt3539966/
Naksha,0813540,2006,Action,Adventure,Fantasy,Hindi,Sunny Deol,Vivek Oberoi,Sameera Reddy,Vishnu Nishad,Udai Prakash Singh,NA,"Bhagwan Shri Kishan had predicted that the Kalyug (Dark Age - where evil will triumph over good) will start after the battle of the Kurkshetra - the epic war between Kauravas and their cousins the Pandavas. Sage Vyas had verbally dictated the Bhagwad Geeta, while Bhagwan Shri Ganesh wrote it, which included a little-known chapter - about Surya Dev's son, Karan, who though sired by Pandavas mother, Kunti herself, had fought on the side of the Kauravas. He adorned a body armor that no arrow or spear could pierce rendering himself virtually immortal. This itself could have changed the course of history and resulted in the annihilation of the Pandavas - until Bhagwan Shri Indra himself intervened and got Karan to donate this armor, which was then safely buried in the Uttaranchal mountains in India. With the body armor out of the way, the Pandavas were able to slay Karan and defeat the Kaurava hordes. Years later, Kapil Malhotra came across a map to this armor, which he wanted to be kept secret, but Baali, his assistant, wanted it for himself, so that he could rule the world. Rather than surrender the map to Baali, Kapil kills himself by jumping off a cliff, leaving behind a divorced wife and son, Veer; and his present wife with a son named Vicky. 20 years later, Vicky, while he attempts to sell their ancestral property near Kishanganj, comes across a copy of the real map - leading to a chain of events that would re-unite the Malhotra brothers, with Baali eventually getting his hands on the much coveted armor - becoming the most powerful human on Earth, unstoppable - with no one capable of killing him.",3.3,1114,https://www.imdb.com/title/tt0813540/
Netaji Subhas Chandra Bose: The Forgotten Hero,0349878,2005,Biography,Drama,History,Hindi,Vinay Anand,Ila Arun,Pankaj Berry,Manish Baba,Kishen Dagar,NA,"Born in a prominent Bengali family, Subhas had dedicated much of his younger years by being actively involved in ridding the British from India. For this purpose he joined hands with stalwarts such as Jawaharlal Nehru and Mohandas Gandhi, but expressed his frustration, especially with Gandhi's slowgan and painstaking way of trying to win over the enemy with love. This is the reason he decided to separate from the Congress Party. The British became weary of him, placed him under arrest, but when he started a hunger strike unto death, they let him go, but kept him under surveillance. Subhas eluded the police, under the guise of Pathan Mohammad Ziauddin, crossed the Indian border in Afghanistan so that he could enter Russia and form an Indian Army to oust the British. His efforts failed, he ended up as Italian Orlando Mashtar, with an office in Germany. He did manage to convince the Nazis, despite of Hitler's views in ""Main Kempf"" that he preferred India to remain colonized under the British. Nevertheless he was permitted recruit Indian-born British soldiers prisoners of war, and this is how the movement began. He secretly married his German Secretary, Emily Sanken, and did earn the ire of the Germans, who wanted to keep their race pure (Caucasian). His efforts to take his army to India through Russia and Afghanistan were in vain as Adolf Hitler declared war on Russia. Leaving his German-based army, Subhas journeyed to Singapore via a submarine, from there he entered into an agreement with the Japanese. And it was with the help of the Japanese that he marched an army of approximately 8000 troops, both men and women, against the might of the British. It was here that he was informed that he had become the father of Anita. Then, fate again played a cruel hand, when America entered the war, atom-bombed Hiroshima and Nagasaki, forcing Japan to surrender unconditionally. At this point, Subhas had two alternatives: to carry on fighting against the British and their new allies, Australia and America, or just disband his army.",7.6,1130,https://www.imdb.com/title/tt0349878/
Firangi,7549484,2017,Comedy,Drama,NA,Hindi,Kapil Sharma,Ishita Dutta,Monica Gill,Shashikant Ranjan,NA,NA,"Manga, an unemployed young man from village Behrampur, was born with a healing gift through which he could cure anyone's backache. This unique ability of his helps him get the job of Orderly from British Officer Mark Daniels. During a visit to village Naku Guda for his friend Heera's wedding, Manga comes across Sargi and falls in love with her. Manga's parents visit Sargi's house with a marriage proposal but Lalaji, Sargi's grandfather, who is not happy with Manga working for the Britishers, refuses the proposal. Raja Inderveer Singh asks all the people of village Naku Guda to relocate to some other place as he intends to set up a Distillery there. Sensing an opportunity to impress Lalaji, Manga decides to help the villagers and complains about it to Officer Mark Daniels, unaware of the fact that his officer is in cahoots with Raja Inderveer Singh. An unsuspecting Manga is manipulated by Mark Daniels and Raja Inderveer Singh and ends up helping them deceive the villagers. Now the entire village holds Manga responsible for their difficult situation. Embarrassed at his naivety, Manga resolves to set things right and win back his lost dignity.",4.4,1125,https://www.imdb.com/title/tt7549484/
Religion,1047459,2007,Drama,History,NA,Hindi,Pankaj Kapur,Supriya Pathak,Pankaj Tripathi,Mohammed Kasim,Tariq Umar Khan,NA,"The movie is about a Hindu priest Pandit Chaturvedi (Pankaj Kapur) who is one of the most highly respected priests in the entire city of Varanasi. A man who lives for his religion, soaked in years of ancient traditions, values and morals. He is a strict, yet lovable man. As any real priest would, Chaturvedi believes he is a disciple of God on this earth to spread God's message and love as he goes about his rigidly ritualistic world of pooja's and teachings. One day his daughter brings home an infant (Krish Parekh) and the mother of the infant has disappeared and cannot be found nowhere. Pandit Chaturvedi is hesitant to have the child around the house at first, and when it's confirmed that the child has been abandoned, he then makes the decision that the child will be raised in the local orphanage. However the Pandit's wife Parvati (Supriya Pathak Kapur) has by now developed a soft spot for the young child and requests her husband if they can keep and raise the child if as their own. Hesitant at first, the priest reluctantly agrees as his wife lies to him that the baby is the son of a Brahmin. Slowly, the child wins over everyone hearts in the house including Pandit Chaturvedi who finds a son, a disciple and a best friend in the child. The story takes a turn when the baby's mother returns to claim him back, and much to the shock of Pandit Chaturvedi, the lady is a Muslim. The child who they'd fondly named Karthik is in fact Mustafa. Pandit Chaturvedi is in a state of shock and utter despair as he feels he has done the biggest sin of his life and feel as if he has betrayed his religion and more-so God. In a state of recluse and regret, Pandit Chaturvedi decides to take a series of different vows and ""vraths"" to clear his conscience. However whilst his mind is telling him he has done a grave sin, his heart sorely misses his little son, and the words ""babuji"" echo in every corridor of the house. In a series of events, riots break out in the city of Varanasi, Mustafa's mum begs and pleads the Pandit and his family to take back the little boy as he is much safer with them. However the doors of the house are closed for the little boy. What follows next can only be only described as a journey as Pandit Chaturvedi defies what he has believed his entire life if ""religion"" and listens to his inner conscience in the rousing finale.",8.0,1065,https://www.imdb.com/title/tt1047459/
Aetbaar,0377340,2004,Action,Drama,Musical,Hindi,Amitabh Bachchan,John Abraham,Bipasha Basu,Riti Sawhney,NA,NA,"After the tragic death of his son - Rohit, in a car accident, Dr. Ranveer Malhotra has been very protective of his daughter Ria. All is well for Ria until one day on a college mishap Ria reaches up with Aryan and both fall in love with each other. Aryan showers Ria with a lot of love and she thought that he is her ideal life partner. Ria invites Aryan to dinner at her home and introduces him to her parents. Her mother immediately approves of him but her father thinks that something is a miss and tells Ria to stop meeting Aryan. But Aryan is madly in love with Ria and refuses to leave her. When Ria disobeys him, her father decides to dig deeper into Aryan's past. Ranveer is desperate as he knows Ria is heading towards something dangerous.",4.6,1039,https://www.imdb.com/title/tt0377340/
Sanam Bewafa,0102835,1991,Drama,Romance,NA,Hindi,Salman Khan,Chandni,Kanchan,Prakash Shetty,NA,NA,Although neighbors Fateh Khan and Sher Khan are sworn enemies which brew from generation to generation. When Sher Khan Son Salman and Fateh Khan Daughter Ruksar fall in love both the families give there consent to there children's marriage but on the wedding day Fateh Khan demands huge sums of money as dowry to which Sher Khan agree and the marriage of Salman and Ruksar is celebrated with great pomp and ceremony. The morning after the wedding Ruksar is asked to leave her in law house. After Ruksar return home Fateh Khan swears to kill Sher Khan and thus the conflicts continue between both families even after Ruksar give birth to a baby boy.,5.4,1272,https://www.imdb.com/title/tt0102835/
Baton Baton Mein,0157339,1979,Comedy,Romance,NA,Hindi,Amol Palekar,Tina Ambani,Asrani,NA,NA,NA,"Tony and Nancy daily board 9:10 Bandra to Churchgate local.Nancy is accompanied by her uncle Tom who develops friendship with Tony and introduces both of them.Nancy's mother Rosie wants her to get married to a wealthy man.Nancy and Tony start knowing each-other and Tom asks her to introduce him to her mother.Rosie finds Tony only earns 300 a month to that of Nancy',s 700.But she feels happy that after probation Tony will earn 1000 a month.Things are well until misunderstanding takes place between the two.",7.5,1154,https://www.imdb.com/title/tt0157339/
Khoon Bhari Maang,0151206,1988,Drama,Thriller,Action,Hindi,Rekha,Kabir Bedi,Sonu Walia,Prakash Shetty,NA,NA,"Nandini and Sanjay Verma are lovers, and they conspire to take over the vaste estate of Mr. Saxena and his only widowed daughter, Aarti, and her two children, with the help of Sanjay's maternal uncle Heeralal, a longtime employee of Saxena. After Saxena passes away suddenly, Sanjay woes Aarti and marries her. On a boating trip both Nandini and Sanjay do away with Aarti, making it look like an accident, and subsequently take over the entire Saxena estate. But Aarti survives, disfigured beyond recognition by a crocodile attack, With the help of plastic surgery transforms herself to a successful model, Jyoti. She then plans to carry out her vengeance against Sanjay, but finds that he has been physically abusing her children, pets, and servants. She must now decide to reveal her identity, or continue with her plan and be a spectator to the abuse on her loved ones.",6.6,1057,https://www.imdb.com/title/tt0151206/
Department,2186731,2012,Action,Crime,Thriller,Hindi,Sanjay Dutt,Rana Daggubati,Lakshmi Manchu,Raju Jadhav,Udai Prakash Singh,NA,NA,3.1,1026,https://www.imdb.com/title/tt2186731/
Umrao Jaan,0083248,1981,Drama,Musical,Romance,Urdu,Rekha,Farooq Shaikh,Naseeruddin Shah,NA,NA,NA,"In Faizabad, British India, Dilawar is sentenced to several years in prison after Amiran's Daroga dad testifies against him. After his discharge around 1840, he extracts his vengeance by abducting Amiran and selling to a brothel madam. It is here Amiran will be re-named Umrao Jaan. Years later, Umrao has grown up and is an accomplished poetess as well as dancer extraordinary. She has many patrons, chief amongst them are Nawab Sultan and his father. The young Nawab is smitten by Umrao's beauty and her poems, but is finally forced to marry a girl of his mother's choice, leaving behind a heart-broken and devastated Umrao, who seeks solace in the arms of Faiz Ali and finally elopes with him, only to find out that he is a wanted bandit, and is shot down and killed by guards. Umrao re-locates to Kanpur where she establishes herself as a Poet and dancer, but is hunted down by brothel-keepers, Gohar Mirza and Husseini and brought back, where she is told that she must marry Gohar. Watch what Umrao does to escape from being married against her will, and her attempts to try and find her way back to her parents.",7.8,1010,https://www.imdb.com/title/tt0083248/
Family of Thakurganj,8897986,2019,Action,Drama,NA,Hindi,Jimmy Sheirgill,Mahie Gill,Nandish Singh,NA,NA,NA,NA,8.3,1615,https://www.imdb.com/title/tt8897986/
Suhaag,0079963,1979,Action,Drama,Musical,Hindi,Shashi Kapoor,Amitabh Bachchan,Rekha,Madhu Kamble,Murli,Ratnakar Phadke,"Vikram has prospered in a life of crime and lives a hedonistic, self-indulgent lifestyle. When Durga, his wife gives birth to twins, he not only repudiates the children but discards his wife in a public way. One of the twins is stolen by Vikram's arch rival and is brought up by a petty purveyor of bootleg liquor. Kishan, the other twin is raised by Durga to become a responsible law enforcer. A clash of the twins is inevitable since Amit lives a life of petty crime. The plot thickens when the twins fall in love with sisters. One of the sisters is a tawaif - a danseuse who entertains men. Suhag, is a fast paced action story where the underworld, the law enforcers, justice and society come together in a compelling story of intrigue, deceit, loyalty and integrity. Social values of the time - love and sacrifice for a sibling, parent, friend is thematically blended into the story. Will the separated twins meet? How will Vikram Singh react when he finds himself on opposite sides of the law from his twin sons? Will Durga honour her suhag (sacred covenant of marriage) after all these years?",6.7,1088,https://www.imdb.com/title/tt0079963/
C Kkompany,1170399,2008,Comedy,Drama,Thriller,Hindi,Tusshar Kapoor,Anupam Kher,Rajpal Yadav,NA,NA,NA,"Ramakant Joshi, Lambodar Jha and Akshay Kumar are residents in the 'C' block of a Mumbai Apartment complex with monetary issues. They decide to create a fake organization 'C Company' in order to extort 1 Crore Rupees from Ramakant's son, Purshottam. While Ramakant hopes to recover the costs involved in his ungrateful son's upbringing; vertically-challenged Lambodar, who is the same height as his school-going son, hopes to boost his career; while Akshay hopes to elope with a gangster's daughter, Priya, to Dubai. Things hilariously get out of hand after the trio decide to assist other beleaguered Indians - putting themselves in the bad books of the Government; the Police, including 'encounter specialist' Inspector Jawle; as well as the underworld led by a Balaji TV-serial addict, Dattubhai.",5.4,1063,https://www.imdb.com/title/tt1170399/
Blood Money,2246595,2012,Action,Crime,Drama,Hindi,Manish Chaudhary,Kunal Khemu,Amrita Puri,NA,NA,NA,"The film is about a young and simple man, Kunal played by Kunal Khemu who is in love with Arzoo played by Amrita Puri, however her parents do not allow her to marry him, as he is unsuccessful. Runing away to get married. Kunal shifts to Cape Town and starts to work in a small business of diamond-exporting. Kunal slowly is dragged into the under hand dealing of the diamond trading company.",5.0,1507,https://www.imdb.com/title/tt2246595/
Yamla Pagla Deewana Phir Se,7609114,2018,Action,Comedy,Drama,Hindi,Dharmendra,Sunny Deol,Bobby Deol,Vishal Hans,NA,NA,"Inheriting from the ancestors, the legacy of the Ayurveda panacea 'Vajrakavach', a famed and effective remedy for all ills, the brother duo Pooran and Kaala use the kavach with varied intentions. While Pooran who is good-hearted puts in use his heritage to help people, Kaala looks out for his interest in money. Parmar, an erstwhile Casanova and a colorful character who is also a sharp and intelligent lawyer of repute, is the paying guest in the brothers' house. He is a thorn in Kaala's side, as he is paying the same rent for 35 years, that is of 125 rupees. Adding to the Punjabi mix, Chikoo is a pretty Gujarati girl, who steals Kaala's heart and brings a sinister twist to the tale.",4.5,1140,https://www.imdb.com/title/tt7609114/
Saare Jahaan Se Mehnga...,2857500,2013,Comedy,Drama,NA,Hindi,Annapoorna,V.M. Badola,Rampal Barsewal,NA,NA,NA,"A satire on inflation-hit middle-class Indian family from a small city in North India. The story revolves around our protagonist who is struggling to survive in this spiraling inflation and how he comes up with a solution to battle it, only to find himself in an even bigger mess due to their innocence and naivety. The story is laced with undertones of sociopolitical issues as well traditions that reflects struggle of the 'average' man, while entertaining that makes you laugh ( and cry) at yourself and the situations that one faces on a daily basis.",7.1,1181,https://www.imdb.com/title/tt2857500/
Satya 2,3059106,2013,Action,Crime,Drama,Hindi,Puneet Singh Ratn,Sharwanand,Anaika Soti,Ramcharantej Labani,Alhad Ashok Satam,Boishali Sinha,"A man who comes to 2013 to reinvent the underworld. Armed with the knowledge which he has acquired through research and studies of mistakes made by all previous underworld dons, he starts a new underworld company which operates just like any corporate organization. He also develops ways to deal with the modern day policing methods. So 'Satya 2' is about a man whose thinking starts where the earlier dons thinking ended.",5.9,967,https://www.imdb.com/title/tt3059106/
